date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-03-27,-76.0,-29.0,-26.0,-71.0,-66.0,28.0
2020-03-28,-83.0,-39.0,-54.0,-74.0,-57.0,20.0
2020-03-29,-85.0,-46.0,-52.0,-75.0,-55.0,15.0
2020-03-30,-74.0,-32.0,-33.0,-73.0,-69.0,27.0
2020-03-31,-74.0,-30.0,-21.0,-72.0,-70.0,27.0
2020-04-01,-75.0,-32.0,-29.0,-73.0,-69.0,28.0
2020-04-02,-75.0,-32.0,-24.0,-73.0,-70.0,29.0
2020-04-03,-76.0,-30.0,-25.0,-72.0,-69.0,29.0
2020-04-04,-81.0,-36.0,-38.0,-72.0,-57.0,19.0
2020-04-05,-82.0,-41.0,-29.0,-70.0,-54.0,15.0
2020-04-06,-73.0,-31.0,-20.0,-72.0,-70.0,27.0
2020-04-07,-73.0,-29.0,-7.0,-69.0,-70.0,27.0
2020-04-08,-73.0,-27.0,-14.0,-70.0,-70.0,27.0
2020-04-09,-71.0,-20.0,-13.0,-70.0,-70.0,27.0
2020-04-10,-78.0,-33.0,-18.0,-75.0,-80.0,32.0
2020-04-11,-81.0,-32.0,-37.0,-70.0,-57.0,19.0
2020-04-12,-89.0,-63.0,-33.0,-71.0,-58.0,16.0
2020-04-13,-78.0,-41.0,-21.0,-78.0,-83.0,31.0
2020-04-14,-71.0,-26.0,-10.0,-69.0,-70.0,27.0
2020-04-15,-72.0,-27.0,-6.0,-69.0,-69.0,27.0
2020-04-16,-73.0,-27.0,-7.0,-70.0,-69.0,28.0
2020-04-17,-75.0,-30.0,-33.0,-71.0,-68.0,29.0
2020-04-18,-81.0,-37.0,-47.0,-71.0,-54.0,19.0
2020-04-19,-80.0,-40.0,-12.0,-66.0,-49.0,14.0
2020-04-20,-71.0,-30.0,-2.0,-68.0,-67.0,25.0
2020-04-21,-72.0,-28.0,2.0,-67.0,-67.0,26.0
2020-04-22,-72.0,-28.0,1.0,-67.0,-66.0,27.0
2020-04-23,-72.0,-27.0,6.0,-67.0,-66.0,27.0
2020-04-24,-73.0,-26.0,-4.0,-66.0,-65.0,27.0
2020-04-25,-78.0,-32.0,-23.0,-65.0,-51.0,18.0
2020-04-26,-78.0,-37.0,-10.0,-64.0,-48.0,14.0
2020-04-27,-69.0,-29.0,-3.0,-66.0,-65.0,25.0
2020-04-28,-74.0,-33.0,-42.0,-71.0,-66.0,25.0
2020-04-29,-73.0,-30.0,-31.0,-69.0,-66.0,27.0
2020-04-30,-74.0,-28.0,-31.0,-69.0,-66.0,27.0
2020-05-01,-74.0,-27.0,-22.0,-67.0,-64.0,27.0
2020-05-02,-78.0,-30.0,-18.0,-63.0,-49.0,17.0
2020-05-03,-79.0,-37.0,-21.0,-64.0,-46.0,14.0
2020-05-04,-69.0,-27.0,4.0,-64.0,-64.0,24.0
2020-05-05,-70.0,-25.0,4.0,-64.0,-64.0,25.0
2020-05-06,-69.0,-22.0,16.0,-62.0,-63.0,25.0
2020-05-07,-67.0,-15.0,16.0,-62.0,-63.0,25.0
2020-05-08,-75.0,-28.0,14.0,-68.0,-77.0,30.0
2020-05-09,-78.0,-29.0,-6.0,-62.0,-48.0,17.0
2020-05-10,-80.0,-37.0,-38.0,-68.0,-45.0,14.0
2020-05-11,-67.0,-25.0,-8.0,-64.0,-62.0,24.0
2020-05-12,-68.0,-23.0,7.0,-62.0,-62.0,24.0
2020-05-13,-68.0,-23.0,6.0,-62.0,-61.0,25.0
2020-05-14,-67.0,-21.0,28.0,-61.0,-61.0,23.0
2020-05-15,-69.0,-21.0,21.0,-60.0,-60.0,24.0
2020-05-16,-74.0,-25.0,5.0,-58.0,-43.0,15.0
2020-05-17,-74.0,-29.0,27.0,-55.0,-39.0,12.0
2020-05-18,-63.0,-20.0,36.0,-59.0,-59.0,22.0
2020-05-19,-64.0,-18.0,51.0,-57.0,-59.0,22.0
2020-05-20,-64.0,-16.0,68.0,-56.0,-59.0,22.0
2020-05-21,-64.0,-16.0,51.0,-58.0,-59.0,23.0
2020-05-22,-66.0,-18.0,14.0,-59.0,-58.0,24.0
2020-05-23,-72.0,-23.0,-12.0,-59.0,-41.0,15.0
2020-05-24,-71.0,-25.0,38.0,-52.0,-36.0,11.0
2020-05-25,-64.0,-23.0,136.0,-60.0,-77.0,24.0
2020-05-26,-60.0,-14.0,66.0,-55.0,-59.0,21.0
2020-05-27,-61.0,-15.0,65.0,-55.0,-58.0,22.0
2020-05-28,-60.0,-12.0,77.0,-55.0,-58.0,22.0
2020-05-29,-62.0,-12.0,67.0,-53.0,-56.0,22.0
2020-05-30,-69.0,-16.0,48.0,-49.0,-31.0,12.0
2020-05-31,-67.0,-19.0,67.0,-45.0,-26.0,9.0
2020-06-01,-56.0,-13.0,74.0,-51.0,-53.0,19.0
2020-06-02,-59.0,-15.0,78.0,-51.0,-54.0,19.0
2020-06-03,-62.0,-19.0,0.0,-57.0,-54.0,22.0
2020-06-04,-61.0,-17.0,19.0,-56.0,-54.0,22.0
2020-06-05,-63.0,-17.0,9.0,-56.0,-53.0,22.0
2020-06-06,-70.0,-22.0,-17.0,-57.0,-33.0,14.0
2020-06-07,-67.0,-23.0,22.0,-51.0,-28.0,10.0
2020-06-08,-56.0,-17.0,44.0,-54.0,-52.0,19.0
2020-06-09,-58.0,-17.0,56.0,-53.0,-52.0,20.0
2020-06-10,-61.0,-19.0,-1.0,-58.0,-52.0,21.0
2020-06-11,-59.0,-17.0,15.0,-58.0,-52.0,21.0
2020-06-12,-61.0,-17.0,6.0,-57.0,-51.0,21.0
2020-06-13,-65.0,-17.0,41.0,-49.0,-24.0,11.0
2020-06-14,-63.0,-20.0,65.0,-46.0,-19.0,8.0
2020-06-15,-46.0,-14.0,63.0,-50.0,-50.0,18.0
2020-06-16,-50.0,-13.0,53.0,-51.0,-50.0,19.0
2020-06-17,-52.0,-14.0,34.0,-52.0,-50.0,19.0
2020-06-18,-54.0,-15.0,8.0,-56.0,-52.0,20.0
2020-06-19,-53.0,-11.0,20.0,-52.0,-50.0,19.0
2020-06-20,-57.0,-10.0,49.0,-43.0,-20.0,9.0
2020-06-21,-58.0,-17.0,37.0,-44.0,-14.0,7.0
2020-06-22,-45.0,-13.0,72.0,-49.0,-51.0,17.0
2020-06-23,-48.0,-10.0,90.0,-48.0,-51.0,17.0
2020-06-24,-49.0,-8.0,98.0,-47.0,-49.0,17.0
2020-06-25,-49.0,-6.0,102.0,-47.0,-49.0,17.0
2020-06-26,-51.0,-9.0,50.0,-48.0,-49.0,18.0
2020-06-27,-59.0,-15.0,-7.0,-49.0,-24.0,11.0
2020-06-28,-56.0,-19.0,22.0,-46.0,-17.0,8.0
2020-06-29,-45.0,-14.0,22.0,-50.0,-49.0,17.0
2020-06-30,-45.0,-12.0,34.0,-50.0,-48.0,17.0
2020-07-01,-47.0,-13.0,34.0,-49.0,-48.0,17.0
2020-07-02,-47.0,-11.0,39.0,-49.0,-48.0,17.0
2020-07-03,-49.0,-12.0,20.0,-49.0,-47.0,18.0
2020-07-04,-51.0,-15.0,13.0,-41.0,-18.0,8.0
2020-07-05,-48.0,-18.0,53.0,-37.0,-14.0,6.0
2020-07-06,-36.0,-11.0,76.0,-43.0,-48.0,14.0
2020-07-07,-40.0,-12.0,52.0,-45.0,-48.0,16.0
2020-07-08,-42.0,-14.0,29.0,-47.0,-47.0,16.0
2020-07-09,-42.0,-12.0,38.0,-46.0,-47.0,16.0
2020-07-10,-41.0,-10.0,67.0,-40.0,-46.0,14.0
2020-07-11,-47.0,-12.0,69.0,-32.0,-14.0,6.0
2020-07-12,-43.0,-15.0,103.0,-27.0,-10.0,3.0
2020-07-13,-35.0,-11.0,71.0,-42.0,-48.0,14.0
2020-07-14,-36.0,-11.0,73.0,-43.0,-48.0,15.0
2020-07-15,-33.0,-13.0,52.0,-47.0,-46.0,15.0
2020-07-16,-31.0,-10.0,85.0,-45.0,-45.0,14.0
2020-07-17,-33.0,-10.0,93.0,-41.0,-44.0,13.0
2020-07-18,-40.0,-13.0,61.0,-35.0,-14.0,5.0
2020-07-19,-35.0,-16.0,78.0,-32.0,-10.0,3.0
2020-07-20,-25.0,-9.0,114.0,-42.0,-48.0,13.0
2020-07-21,-28.0,-10.0,116.0,-43.0,-48.0,13.0
2020-07-22,-29.0,-11.0,89.0,-44.0,-46.0,14.0
2020-07-23,-30.0,-9.0,81.0,-45.0,-47.0,14.0
2020-07-24,-32.0,-12.0,95.0,-40.0,-46.0,13.0
2020-07-25,-40.0,-16.0,25.0,-37.0,-15.0,6.0
2020-07-26,-33.0,-17.0,78.0,-30.0,-9.0,3.0
2020-07-27,-29.0,-14.0,40.0,-46.0,-51.0,14.0
2020-07-28,-26.0,-10.0,100.0,-42.0,-48.0,14.0
2020-07-29,-25.0,-10.0,107.0,-41.0,-48.0,13.0
2020-07-30,-23.0,-7.0,120.0,-41.0,-48.0,13.0
2020-07-31,-29.0,-11.0,120.0,-37.0,-48.0,11.0
2020-08-01,-36.0,-14.0,72.0,-30.0,-14.0,4.0
2020-08-02,-28.0,-15.0,93.0,-27.0,-9.0,2.0
2020-08-03,-15.0,-11.0,115.0,-39.0,-49.0,11.0
2020-08-04,-19.0,-13.0,89.0,-42.0,-49.0,13.0
2020-08-05,-16.0,-13.0,86.0,-43.0,-48.0,13.0
2020-08-06,-23.0,-10.0,120.0,-42.0,-48.0,12.0
2020-08-07,-28.0,-12.0,114.0,-39.0,-48.0,11.0
2020-08-08,-35.0,-14.0,92.0,-31.0,-13.0,3.0
2020-08-09,-28.0,-15.0,103.0,-27.0,-8.0,1.0
2020-08-10,-11.0,-11.0,118.0,-40.0,-48.0,11.0
2020-08-11,-13.0,-11.0,118.0,-41.0,-48.0,12.0
2020-08-12,-14.0,-11.0,100.0,-42.0,-47.0,12.0
2020-08-13,-24.0,-10.0,89.0,-43.0,-48.0,13.0
2020-08-14,-26.0,-12.0,76.0,-39.0,-46.0,12.0
2020-08-15,-33.0,-15.0,50.0,-33.0,-13.0,4.0
2020-08-16,-29.0,-18.0,52.0,-32.0,-10.0,3.0
2020-08-17,-9.0,-14.0,80.0,-41.0,-48.0,11.0
2020-08-18,-11.0,-13.0,93.0,-41.0,-46.0,12.0
2020-08-19,-15.0,-17.0,39.0,-44.0,-46.0,13.0
2020-08-20,-19.0,-10.0,121.0,-40.0,-46.0,11.0
2020-08-21,-26.0,-13.0,56.0,-40.0,-45.0,12.0
2020-08-22,-31.0,-15.0,53.0,-32.0,-11.0,4.0
2020-08-23,-26.0,-17.0,64.0,-29.0,-7.0,2.0
2020-08-24,-3.0,-12.0,105.0,-38.0,-46.0,10.0
2020-08-25,-13.0,-16.0,31.0,-45.0,-47.0,13.0
2020-08-26,-3.0,-11.0,90.0,-38.0,-44.0,11.0
2020-08-27,-21.0,-12.0,55.0,-42.0,-45.0,12.0
2020-08-28,-20.0,-9.0,51.0,-37.0,-45.0,11.0
2020-08-29,-27.0,-13.0,49.0,-29.0,-12.0,3.0
2020-08-30,-15.0,-14.0,94.0,-23.0,-7.0,1.0
2020-08-31,3.0,-17.0,152.0,-43.0,-68.0,14.0
2020-09-01,-15.0,-6.0,94.0,-37.0,-44.0,10.0
2020-09-02,-20.0,-11.0,48.0,-41.0,-42.0,11.0
2020-09-03,-20.0,-10.0,58.0,-40.0,-42.0,11.0
2020-09-04,-21.0,-10.0,61.0,-35.0,-40.0,9.0
2020-09-05,-26.0,-12.0,56.0,-30.0,-10.0,3.0
2020-09-06,-21.0,-12.0,69.0,-27.0,-7.0,2.0
2020-09-07,-17.0,-10.0,58.0,-36.0,-43.0,9.0
2020-09-08,-19.0,-10.0,74.0,-35.0,-42.0,9.0
2020-09-09,-20.0,-11.0,67.0,-36.0,-39.0,9.0
2020-09-10,-20.0,-9.0,78.0,-36.0,-40.0,9.0
2020-09-11,-22.0,-9.0,62.0,-32.0,-38.0,8.0
2020-09-12,-27.0,-11.0,61.0,-28.0,-9.0,3.0
2020-09-13,-21.0,-12.0,94.0,-24.0,-7.0,1.0
2020-09-14,-17.0,-9.0,104.0,-32.0,-36.0,8.0
2020-09-15,-19.0,-9.0,91.0,-34.0,-36.0,9.0
2020-09-16,-21.0,-11.0,71.0,-35.0,-36.0,9.0
2020-09-17,-20.0,-9.0,88.0,-35.0,-36.0,9.0
2020-09-18,-22.0,-9.0,75.0,-32.0,-35.0,8.0
2020-09-19,-27.0,-11.0,67.0,-29.0,-10.0,3.0
2020-09-20,-22.0,-12.0,85.0,-26.0,-7.0,2.0
2020-09-21,-17.0,-8.0,86.0,-34.0,-37.0,8.0
2020-09-22,-22.0,-9.0,64.0,-36.0,-36.0,9.0
2020-09-23,-27.0,-11.0,20.0,-40.0,-35.0,11.0
2020-09-24,-26.0,-9.0,28.0,-41.0,-35.0,11.0
2020-09-25,-25.0,-7.0,29.0,-37.0,-34.0,10.0
2020-09-26,-28.0,-10.0,28.0,-34.0,-9.0,5.0
2020-09-27,-25.0,-13.0,45.0,-32.0,-7.0,3.0
2020-09-28,-19.0,-8.0,45.0,-38.0,-35.0,10.0
2020-09-29,-22.0,-8.0,47.0,-38.0,-34.0,10.0
2020-09-30,-26.0,-11.0,4.0,-40.0,-34.0,11.0
2020-10-01,-23.0,-6.0,36.0,-39.0,-32.0,10.0
2020-10-02,-30.0,-10.0,4.0,-37.0,-32.0,11.0
2020-10-03,-34.0,-12.0,-20.0,-40.0,-12.0,7.0
2020-10-04,-31.0,-15.0,-4.0,-38.0,-9.0,5.0
2020-10-05,-24.0,-10.0,23.0,-37.0,-34.0,10.0
2020-10-06,-26.0,-9.0,20.0,-38.0,-34.0,10.0
2020-10-07,-24.0,-9.0,31.0,-38.0,-32.0,10.0
2020-10-08,-27.0,-9.0,21.0,-41.0,-33.0,11.0
2020-10-09,-28.0,-8.0,19.0,-37.0,-31.0,10.0
2020-10-10,-31.0,-10.0,14.0,-37.0,-8.0,6.0
2020-10-11,-27.0,-13.0,49.0,-33.0,-6.0,4.0
2020-10-12,-27.0,-12.0,9.0,-40.0,-35.0,11.0
2020-10-13,-29.0,-11.0,14.0,-41.0,-35.0,11.0
2020-10-14,-27.0,-9.0,23.0,-40.0,-33.0,11.0
2020-10-15,-27.0,-7.0,29.0,-40.0,-33.0,11.0
2020-10-16,-27.0,-6.0,25.0,-37.0,-32.0,11.0
2020-10-17,-33.0,-9.0,18.0,-40.0,-10.0,7.0
2020-10-18,-30.0,-13.0,36.0,-38.0,-9.0,5.0
2020-10-19,-26.0,-10.0,27.0,-41.0,-35.0,11.0
2020-10-20,-28.0,-9.0,28.0,-41.0,-35.0,12.0
2020-10-21,-31.0,-11.0,-2.0,-44.0,-35.0,13.0
2020-10-22,-26.0,-6.0,34.0,-42.0,-34.0,12.0
2020-10-23,-28.0,-6.0,19.0,-41.0,-35.0,12.0
2020-10-24,-38.0,-12.0,-10.0,-44.0,-13.0,8.0
2020-10-25,-29.0,-10.0,32.0,-39.0,-10.0,5.0
2020-10-26,-21.0,-9.0,42.0,-44.0,-45.0,13.0
2020-10-27,-27.0,-10.0,10.0,-47.0,-45.0,14.0
2020-10-28,-23.0,-8.0,27.0,-45.0,-43.0,14.0
2020-10-29,-27.0,-9.0,4.0,-48.0,-44.0,15.0
2020-10-30,-26.0,-5.0,25.0,-43.0,-42.0,13.0
2020-10-31,-38.0,-9.0,-15.0,-44.0,-13.0,8.0
2020-11-01,-29.0,-13.0,-4.0,-40.0,-10.0,5.0
2020-11-02,-17.0,-7.0,8.0,-40.0,-34.0,11.0
2020-11-03,-17.0,-6.0,6.0,-39.0,-33.0,11.0
2020-11-04,-11.0,-4.0,19.0,-36.0,-31.0,10.0
2020-11-05,-54.0,-14.0,8.0,-52.0,-38.0,16.0
2020-11-06,-55.0,-12.0,5.0,-52.0,-38.0,17.0
2020-11-07,-60.0,-16.0,13.0,-58.0,-28.0,13.0
2020-11-08,-60.0,-20.0,5.0,-57.0,-28.0,10.0
2020-11-09,-47.0,-15.0,5.0,-50.0,-39.0,15.0
2020-11-10,-48.0,-13.0,14.0,-49.0,-39.0,15.0
2020-11-11,-49.0,-14.0,-1.0,-51.0,-38.0,16.0
2020-11-12,-48.0,-10.0,19.0,-50.0,-39.0,16.0
2020-11-13,-49.0,-8.0,7.0,-50.0,-38.0,16.0
2020-11-14,-59.0,-16.0,-29.0,-59.0,-28.0,13.0
2020-11-15,-57.0,-19.0,-5.0,-57.0,-28.0,10.0
2020-11-16,-46.0,-14.0,2.0,-50.0,-39.0,15.0
2020-11-17,-48.0,-12.0,6.0,-50.0,-39.0,15.0
2020-11-18,-49.0,-13.0,-7.0,-51.0,-38.0,16.0
2020-11-19,-48.0,-10.0,6.0,-51.0,-39.0,16.0
2020-11-20,-50.0,-8.0,-17.0,-51.0,-38.0,17.0
2020-11-21,-56.0,-12.0,-8.0,-56.0,-26.0,12.0
2020-11-22,-53.0,-15.0,25.0,-53.0,-26.0,9.0
2020-11-23,-44.0,-12.0,4.0,-50.0,-39.0,15.0
2020-11-24,-47.0,-10.0,3.0,-50.0,-38.0,15.0
2020-11-25,-47.0,-12.0,-5.0,-51.0,-37.0,16.0
2020-11-26,-46.0,-9.0,10.0,-51.0,-37.0,15.0
2020-11-27,-47.0,-7.0,-2.0,-50.0,-38.0,16.0
2020-11-28,-55.0,-12.0,-11.0,-55.0,-24.0,12.0
2020-11-29,-53.0,-15.0,5.0,-54.0,-24.0,9.0
2020-11-30,-41.0,-9.0,-9.0,-49.0,-37.0,14.0
2020-12-01,-43.0,-7.0,7.0,-48.0,-36.0,14.0
2020-12-02,-31.0,-6.0,-7.0,-45.0,-32.0,13.0
2020-12-03,-34.0,-8.0,-20.0,-46.0,-33.0,14.0
2020-12-04,-35.0,-5.0,-18.0,-44.0,-33.0,14.0
2020-12-05,-36.0,-6.0,-8.0,-41.0,-13.0,8.0
2020-12-06,-36.0,-10.0,1.0,-41.0,-13.0,7.0
2020-12-07,-26.0,-5.0,-4.0,-43.0,-34.0,12.0
2020-12-08,-31.0,-5.0,-7.0,-44.0,-33.0,12.0
2020-12-09,-31.0,-5.0,-5.0,-44.0,-32.0,13.0
2020-12-10,-32.0,-3.0,-1.0,-44.0,-33.0,13.0
2020-12-11,-33.0,-2.0,-5.0,-41.0,-32.0,13.0
2020-12-12,-37.0,-5.0,-5.0,-39.0,-12.0,8.0
2020-12-13,-41.0,-13.0,-31.0,-45.0,-14.0,8.0
2020-12-14,-25.0,-2.0,2.0,-42.0,-35.0,12.0
2020-12-15,-25.0,0.0,10.0,-41.0,-34.0,12.0
2020-12-16,-33.0,-3.0,-14.0,-46.0,-34.0,14.0
2020-12-17,-29.0,2.0,12.0,-44.0,-35.0,13.0
2020-12-18,-33.0,-1.0,-14.0,-45.0,-37.0,15.0
2020-12-19,-40.0,-3.0,-10.0,-41.0,-13.0,8.0
2020-12-20,-43.0,-7.0,5.0,-45.0,-13.0,7.0
2020-12-21,-26.0,12.0,-8.0,-52.0,-49.0,16.0
2020-12-22,-26.0,17.0,14.0,-52.0,-50.0,16.0
2020-12-23,-27.0,23.0,-12.0,-54.0,-53.0,18.0
2020-12-24,-35.0,14.0,19.0,-59.0,-65.0,21.0
2020-12-25,-92.0,-89.0,-25.0,-85.0,-85.0,27.0
2020-12-26,-81.0,-63.0,-34.0,-76.0,-54.0,15.0
2020-12-27,-58.0,-24.0,3.0,-59.0,-29.0,10.0
2020-12-28,-51.0,-24.0,16.0,-70.0,-77.0,26.0
2020-12-29,-47.0,-11.0,14.0,-64.0,-68.0,24.0
2020-12-30,-42.0,-3.0,18.0,-63.0,-66.0,23.0
2020-12-31,-53.0,2.0,14.0,-67.0,-69.0,24.0
2021-01-01,-83.0,-64.0,-5.0,-82.0,-83.0,32.0
2021-01-02,-68.0,-24.0,-12.0,-66.0,-39.0,16.0
2021-01-03,-64.0,-24.0,-8.0,-62.0,-29.0,11.0
2021-01-04,-53.0,-17.0,-16.0,-62.0,-49.0,19.0
2021-01-05,-61.0,-21.0,-18.0,-63.0,-50.0,20.0
2021-01-06,-62.0,-22.0,-13.0,-63.0,-49.0,21.0
2021-01-07,-62.0,-22.0,-9.0,-64.0,-50.0,21.0
2021-01-08,-64.0,-23.0,-21.0,-64.0,-49.0,22.0
2021-01-09,-68.0,-22.0,-14.0,-65.0,-33.0,15.0
2021-01-10,-68.0,-27.0,-13.0,-65.0,-31.0,12.0
2021-01-11,-59.0,-25.0,-16.0,-63.0,-50.0,20.0
2021-01-12,-61.0,-24.0,-7.0,-63.0,-51.0,20.0
2021-01-13,-64.0,-27.0,-30.0,-65.0,-50.0,21.0
2021-01-14,-66.0,-29.0,-28.0,-66.0,-53.0,22.0
2021-01-15,-64.0,-23.0,-15.0,-64.0,-51.0,21.0
2021-01-16,-70.0,-26.0,-31.0,-67.0,-35.0,15.0
2021-01-17,-67.0,-27.0,8.0,-63.0,-31.0,11.0
2021-01-18,-60.0,-25.0,-10.0,-63.0,-51.0,19.0
2021-01-19,-63.0,-27.0,-23.0,-64.0,-52.0,20.0
2021-01-20,-65.0,-28.0,-35.0,-66.0,-51.0,21.0
2021-01-21,-62.0,-23.0,-6.0,-64.0,-51.0,20.0
2021-01-22,-62.0,-20.0,-3.0,-63.0,-49.0,21.0
2021-01-23,-67.0,-22.0,-12.0,-64.0,-33.0,14.0
2021-01-24,-71.0,-31.0,-4.0,-66.0,-34.0,12.0
2021-01-25,-59.0,-23.0,-1.0,-62.0,-52.0,19.0
2021-01-26,-62.0,-25.0,-27.0,-64.0,-51.0,20.0
2021-01-27,-60.0,-21.0,-13.0,-63.0,-50.0,20.0
2021-01-28,-61.0,-21.0,-12.0,-63.0,-50.0,20.0
2021-01-29,-60.0,-16.0,-11.0,-61.0,-49.0,20.0
2021-01-30,-67.0,-22.0,-37.0,-67.0,-33.0,15.0
2021-01-31,-65.0,-24.0,-3.0,-63.0,-30.0,11.0
2021-02-01,-56.0,-21.0,0.0,-60.0,-49.0,18.0
2021-02-02,-61.0,-24.0,-13.0,-62.0,-51.0,20.0
2021-02-03,-60.0,-21.0,-13.0,-63.0,-49.0,20.0
2021-02-04,-60.0,-20.0,-12.0,-64.0,-49.0,20.0
2021-02-05,-59.0,-14.0,-1.0,-61.0,-48.0,20.0
2021-02-06,-65.0,-19.0,-21.0,-64.0,-31.0,14.0
2021-02-07,-68.0,-27.0,-23.0,-67.0,-32.0,11.0
2021-02-08,-60.0,-24.0,-13.0,-63.0,-52.0,19.0
2021-02-09,-61.0,-21.0,-12.0,-63.0,-52.0,20.0
2021-02-10,-59.0,-17.0,-8.0,-62.0,-50.0,20.0
2021-02-11,-58.0,-15.0,-8.0,-63.0,-49.0,20.0
2021-02-12,-58.0,-10.0,-14.0,-62.0,-48.0,20.0
2021-02-13,-63.0,-11.0,-28.0,-65.0,-31.0,14.0
2021-02-14,-65.0,-21.0,-28.0,-65.0,-30.0,11.0
2021-02-15,-52.0,-16.0,18.0,-60.0,-53.0,18.0
2021-02-16,-55.0,-13.0,5.0,-61.0,-52.0,19.0
2021-02-17,-55.0,-16.0,1.0,-61.0,-51.0,20.0
2021-02-18,-55.0,-13.0,13.0,-61.0,-52.0,20.0
2021-02-19,-57.0,-12.0,-7.0,-61.0,-51.0,20.0
2021-02-20,-62.0,-14.0,-4.0,-61.0,-28.0,13.0
2021-02-21,-60.0,-18.0,27.0,-57.0,-26.0,10.0
2021-02-22,-52.0,-16.0,13.0,-59.0,-47.0,17.0
2021-02-23,-55.0,-15.0,7.0,-59.0,-47.0,18.0
2021-02-24,-54.0,-13.0,6.0,-59.0,-46.0,19.0
2021-02-25,-53.0,-10.0,22.0,-59.0,-46.0,18.0
2021-02-26,-51.0,-5.0,38.0,-56.0,-45.0,18.0
2021-02-27,-56.0,-9.0,38.0,-56.0,-25.0,11.0
2021-02-28,-55.0,-12.0,48.0,-55.0,-23.0,9.0
2021-03-01,-49.0,-12.0,20.0,-57.0,-46.0,17.0
2021-03-02,-52.0,-12.0,16.0,-58.0,-46.0,17.0
2021-03-03,-54.0,-13.0,-7.0,-59.0,-46.0,18.0
2021-03-04,-54.0,-10.0,-1.0,-59.0,-46.0,18.0
2021-03-05,-53.0,-6.0,8.0,-57.0,-44.0,18.0
2021-03-06,-57.0,-9.0,10.0,-58.0,-24.0,12.0
2021-03-07,-56.0,-12.0,30.0,-56.0,-22.0,9.0
2021-03-08,-47.0,-8.0,16.0,-54.0,-44.0,15.0
2021-03-09,-49.0,-8.0,31.0,-52.0,-43.0,15.0
2021-03-10,-55.0,-12.0,-26.0,-57.0,-42.0,17.0
2021-03-11,-53.0,-6.0,-4.0,-55.0,-42.0,17.0
2021-03-12,-52.0,-1.0,-1.0,-53.0,-40.0,16.0
2021-03-13,-56.0,2.0,-11.0,-58.0,-23.0,12.0
2021-03-14,-58.0,-10.0,4.0,-54.0,-14.0,8.0
2021-03-15,-47.0,-9.0,23.0,-51.0,-41.0,14.0
