date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,2.0,4.0,9.0,0.0,-3.0,0.0
2020-02-16,3.0,5.0,5.0,4.0,-1.0,0.0
2020-02-17,1.0,6.0,11.0,-3.0,-8.0,1.0
2020-02-18,0.0,5.0,13.0,-3.0,-7.0,1.0
2020-02-19,0.0,8.0,11.0,-3.0,-7.0,1.0
2020-02-20,-1.0,5.0,11.0,-3.0,-7.0,1.0
2020-02-21,-3.0,5.0,10.0,-6.0,-7.0,2.0
2020-02-22,0.0,5.0,9.0,-1.0,-2.0,0.0
2020-02-23,-1.0,4.0,-3.0,1.0,-2.0,1.0
2020-02-24,-1.0,3.0,-4.0,-3.0,-2.0,2.0
2020-02-25,-1.0,3.0,1.0,-1.0,-1.0,1.0
2020-02-26,-3.0,3.0,-3.0,-1.0,0.0,2.0
2020-02-27,-1.0,3.0,-4.0,0.0,1.0,2.0
2020-02-28,6.0,9.0,-2.0,0.0,2.0,1.0
2020-02-29,13.0,12.0,-8.0,5.0,0.0,0.0
2020-03-01,11.0,15.0,-15.0,7.0,1.0,2.0
2020-03-02,5.0,9.0,-15.0,2.0,11.0,0.0
2020-03-03,4.0,10.0,-14.0,3.0,12.0,0.0
2020-03-04,1.0,9.0,-16.0,5.0,14.0,0.0
2020-03-05,-1.0,4.0,-15.0,5.0,15.0,0.0
2020-03-06,1.0,5.0,-12.0,4.0,16.0,0.0
2020-03-07,7.0,7.0,-20.0,2.0,3.0,3.0
2020-03-08,5.0,7.0,-8.0,12.0,-1.0,5.0
2020-03-09,-3.0,2.0,-13.0,5.0,16.0,0.0
2020-03-10,-3.0,1.0,-17.0,7.0,17.0,-2.0
2020-03-11,-8.0,0.0,-19.0,6.0,16.0,0.0
2020-03-12,-7.0,-1.0,-21.0,5.0,17.0,-1.0
2020-03-13,-3.0,5.0,-17.0,3.0,17.0,-1.0
2020-03-14,1.0,9.0,-21.0,-1.0,4.0,3.0
2020-03-15,-10.0,17.0,-29.0,-6.0,-1.0,6.0
2020-03-16,-20.0,16.0,-34.0,-18.0,2.0,7.0
2020-03-17,-31.0,1.0,-39.0,-27.0,-11.0,11.0
2020-03-18,-38.0,2.0,-45.0,-32.0,-18.0,14.0
2020-03-19,-51.0,-17.0,-50.0,-41.0,-27.0,19.0
2020-03-20,-54.0,-21.0,-54.0,-47.0,-31.0,23.0
2020-03-21,-63.0,-31.0,-66.0,-51.0,-32.0,22.0
2020-03-22,-72.0,-45.0,-72.0,-58.0,-38.0,22.0
2020-03-23,-62.0,-38.0,-61.0,-56.0,-41.0,24.0
2020-03-24,-64.0,-38.0,-61.0,-57.0,-44.0,25.0
2020-03-25,-64.0,-36.0,-61.0,-57.0,-44.0,26.0
2020-03-26,-61.0,-32.0,-59.0,-54.0,-44.0,25.0
2020-03-27,-67.0,-41.0,-64.0,-65.0,-50.0,31.0
2020-03-28,-68.0,-41.0,-69.0,-61.0,-43.0,25.0
2020-03-29,-73.0,-55.0,-72.0,-64.0,-42.0,24.0
