date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-03-16,-10.0,1.0,-18.0,-11.0,2.0,3
2020-03-17,-15.0,-4.0,-16.0,-14.0,-3.0,5
2020-03-18,-14.0,-4.0,-12.0,-16.0,-8.0,7
2020-03-19,-16.0,-5.0,-10.0,-20.0,-14.0,9
2020-03-20,-14.0,1.0,-14.0,-19.0,-15.0,9
2020-03-21,-24.0,-6.0,-21.0,-26.0,-18.0,8
2020-03-22,-31.0,-10.0,-23.0,-36.0,-11.0,9
2020-03-23,-20.0,-4.0,-15.0,-33.0,-21.0,11
2020-03-24,-7.0,18.0,-16.0,-28.0,-22.0,9
2020-03-25,9.0,34.0,-13.0,-19.0,-24.0,7
2020-03-26,16.0,59.0,-9.0,-26.0,-32.0,6
2020-03-27,-80.0,-61.0,-47.0,-81.0,-75.0,40
2020-03-28,-80.0,-60.0,-59.0,-79.0,-58.0,28
2020-03-29,-79.0,-60.0,-55.0,-80.0,-49.0,24
2020-03-30,-73.0,-51.0,-42.0,-79.0,-74.0,36
2020-03-31,-72.0,-47.0,-40.0,-78.0,-74.0,35
2020-04-01,-70.0,-42.0,-38.0,-77.0,-73.0,35
2020-04-02,-70.0,-41.0,-38.0,-78.0,-73.0,37
2020-04-03,-72.0,-42.0,-43.0,-78.0,-73.0,38
2020-04-04,-77.0,-52.0,-57.0,-77.0,-55.0,27
2020-04-05,-76.0,-51.0,-53.0,-78.0,-44.0,22
2020-04-06,-72.0,-48.0,-41.0,-79.0,-73.0,37
2020-04-07,-73.0,-46.0,-41.0,-78.0,-73.0,36
2020-04-08,-73.0,-44.0,-40.0,-80.0,-74.0,36
2020-04-09,-68.0,-34.0,-39.0,-79.0,-74.0,36
2020-04-10,-82.0,-62.0,-48.0,-84.0,-85.0,44
2020-04-11,-75.0,-46.0,-58.0,-78.0,-56.0,27
2020-04-12,-78.0,-54.0,-57.0,-81.0,-46.0,23
2020-04-13,-80.0,-61.0,-46.0,-85.0,-85.0,42
2020-04-14,-72.0,-46.0,-45.0,-80.0,-72.0,36
2020-04-15,-68.0,-38.0,-41.0,-78.0,-72.0,36
2020-04-16,-69.0,-38.0,-40.0,-79.0,-71.0,36
2020-04-17,-71.0,-38.0,-45.0,-78.0,-70.0,38
2020-04-18,-76.0,-48.0,-60.0,-76.0,-52.0,26
2020-04-19,-78.0,-52.0,-58.0,-79.0,-42.0,23
2020-04-20,-72.0,-47.0,-45.0,-78.0,-69.0,35
2020-04-21,-73.0,-47.0,-45.0,-78.0,-69.0,35
2020-04-22,-73.0,-46.0,-44.0,-79.0,-69.0,35
2020-04-23,-72.0,-44.0,-44.0,-79.0,-69.0,35
2020-04-24,-69.0,-36.0,-47.0,-77.0,-68.0,36
2020-04-25,-69.0,-36.0,-58.0,-73.0,-48.0,23
2020-04-26,-72.0,-40.0,-57.0,-78.0,-40.0,22
2020-04-27,-76.0,-52.0,-47.0,-82.0,-82.0,40
2020-04-28,-68.0,-39.0,-44.0,-76.0,-67.0,32
2020-04-29,-67.0,-37.0,-41.0,-75.0,-67.0,33
2020-04-30,-62.0,-27.0,-37.0,-73.0,-65.0,31
2020-05-01,-61.0,-31.0,-39.0,-73.0,-76.0,35
2020-05-02,-54.0,-22.0,-51.0,-60.0,-35.0,20
2020-05-03,-59.0,-28.0,-50.0,-66.0,-26.0,18
2020-05-04,-47.0,-24.0,-33.0,-61.0,-52.0,26
2020-05-05,-51.0,-25.0,-33.0,-61.0,-53.0,26
2020-05-06,-49.0,-20.0,-31.0,-58.0,-52.0,26
2020-05-07,-48.0,-19.0,-30.0,-59.0,-52.0,26
2020-05-08,-53.0,-22.0,-38.0,-64.0,-51.0,29
2020-05-09,-51.0,-19.0,-51.0,-61.0,-28.0,19
2020-05-10,-58.0,-25.0,-50.0,-68.0,-21.0,17
2020-05-11,-52.0,-32.0,-36.0,-63.0,-50.0,27
2020-05-12,-53.0,-30.0,-36.0,-62.0,-50.0,26
2020-05-13,-53.0,-29.0,-34.0,-63.0,-50.0,26
2020-05-14,-52.0,-27.0,-33.0,-63.0,-50.0,26
2020-05-15,-51.0,-22.0,-37.0,-62.0,-48.0,27
2020-05-16,-51.0,-22.0,-49.0,-59.0,-25.0,18
2020-05-17,-58.0,-29.0,-49.0,-67.0,-20.0,18
2020-05-18,-50.0,-31.0,-36.0,-63.0,-47.0,26
2020-05-19,-52.0,-31.0,-35.0,-63.0,-48.0,25
2020-05-20,-50.0,-26.0,-33.0,-62.0,-48.0,26
2020-05-21,-49.0,-24.0,-33.0,-62.0,-48.0,26
2020-05-22,-50.0,-23.0,-38.0,-62.0,-46.0,27
2020-05-23,-49.0,-20.0,-49.0,-58.0,-22.0,17
2020-05-24,-55.0,-26.0,-48.0,-66.0,-18.0,17
2020-05-25,-46.0,-26.0,-37.0,-62.0,-47.0,25
2020-05-26,-46.0,-24.0,-37.0,-60.0,-45.0,24
2020-05-27,-44.0,-19.0,-34.0,-60.0,-44.0,24
2020-05-28,-43.0,-17.0,-34.0,-60.0,-43.0,24
2020-05-29,-42.0,-13.0,-37.0,-57.0,-42.0,24
2020-05-30,-40.0,-9.0,-46.0,-50.0,-14.0,15
2020-05-31,-45.0,-12.0,-44.0,-58.0,-7.0,14
2020-06-01,-25.0,-5.0,-23.0,-48.0,-35.0,19
2020-06-02,-33.0,-12.0,-25.0,-49.0,-35.0,20
2020-06-03,-32.0,-9.0,-24.0,-50.0,-35.0,20
2020-06-04,-29.0,-4.0,-21.0,-50.0,-35.0,20
2020-06-05,-34.0,-10.0,-28.0,-49.0,-35.0,21
2020-06-06,-34.0,-9.0,-35.0,-46.0,-11.0,13
2020-06-07,-42.0,-15.0,-31.0,-55.0,-6.0,13
2020-06-08,-32.0,-14.0,-26.0,-50.0,-33.0,19
2020-06-09,-35.0,-15.0,-26.0,-50.0,-33.0,19
2020-06-10,-37.0,-16.0,-28.0,-51.0,-34.0,21
2020-06-11,-33.0,-12.0,-28.0,-52.0,-35.0,21
2020-06-12,-36.0,-16.0,-31.0,-53.0,-34.0,21
2020-06-13,-37.0,-16.0,-37.0,-50.0,-10.0,14
2020-06-14,-45.0,-23.0,-33.0,-59.0,-6.0,14
2020-06-15,-25.0,-10.0,-22.0,-51.0,-38.0,19
2020-06-16,-47.0,-29.0,-15.0,-66.0,-70.0,31
2020-06-17,-34.0,-15.0,-25.0,-52.0,-34.0,19
2020-06-18,-32.0,-13.0,-24.0,-53.0,-35.0,20
2020-06-19,-34.0,-14.0,-27.0,-52.0,-34.0,20
2020-06-20,-32.0,-10.0,-34.0,-50.0,-8.0,13
2020-06-21,-44.0,-20.0,-34.0,-59.0,-3.0,13
2020-06-22,-35.0,-23.0,-26.0,-59.0,-37.0,20
2020-06-23,-36.0,-20.0,-23.0,-52.0,-36.0,19
2020-06-24,-34.0,-18.0,-22.0,-52.0,-34.0,19
2020-06-25,-22.0,0.0,-23.0,-50.0,-34.0,18
2020-06-26,-25.0,-4.0,-27.0,-48.0,-34.0,18
2020-06-27,-26.0,-4.0,-36.0,-45.0,-10.0,12
2020-06-28,-33.0,-8.0,-30.0,-54.0,-5.0,12
2020-06-29,-26.0,-13.0,-26.0,-48.0,-34.0,18
2020-06-30,-22.0,-5.0,-20.0,-46.0,-33.0,17
2020-07-01,-22.0,-3.0,-16.0,-45.0,-32.0,17
2020-07-02,-19.0,3.0,-18.0,-46.0,-33.0,18
2020-07-03,-23.0,-3.0,-19.0,-43.0,-33.0,18
2020-07-04,-25.0,-4.0,-26.0,-41.0,-8.0,12
2020-07-05,-32.0,-10.0,-25.0,-50.0,-3.0,12
2020-07-06,-23.0,-9.0,-21.0,-46.0,-34.0,18
2020-07-07,-26.0,-8.0,-21.0,-46.0,-34.0,18
2020-07-08,-28.0,-9.0,-20.0,-49.0,-34.0,18
2020-07-09,-29.0,-8.0,-26.0,-51.0,-36.0,20
2020-07-10,-33.0,-13.0,-29.0,-51.0,-36.0,20
2020-07-11,-37.0,-18.0,-40.0,-52.0,-14.0,14
2020-07-12,-39.0,-20.0,-27.0,-56.0,-9.0,12
2020-07-13,-36.0,-22.0,-30.0,-54.0,-37.0,19
2020-07-14,-37.0,-23.0,-29.0,-54.0,-37.0,19
2020-07-15,-30.0,-12.0,-24.0,-53.0,-35.0,19
2020-07-16,-29.0,-11.0,-22.0,-52.0,-36.0,19
2020-07-17,-31.0,-11.0,-25.0,-51.0,-35.0,20
2020-07-18,-33.0,-13.0,-30.0,-50.0,-11.0,14
2020-07-19,-39.0,-18.0,-24.0,-58.0,-9.0,14
2020-07-20,-32.0,-18.0,-26.0,-53.0,-35.0,19
2020-07-21,-35.0,-20.0,-24.0,-53.0,-36.0,19
2020-07-22,-33.0,-17.0,-23.0,-52.0,-34.0,20
2020-07-23,-31.0,-14.0,-21.0,-53.0,-35.0,20
2020-07-24,-25.0,-6.0,-22.0,-49.0,-33.0,19
2020-07-25,-20.0,0.0,-25.0,-44.0,-10.0,12
2020-07-26,-29.0,-6.0,-26.0,-53.0,-8.0,12
2020-07-27,-25.0,-11.0,-24.0,-50.0,-38.0,20
2020-07-28,-27.0,-10.0,-23.0,-49.0,-38.0,19
2020-07-29,-25.0,-8.0,-19.0,-49.0,-38.0,19
2020-07-30,-23.0,-5.0,-18.0,-49.0,-38.0,19
2020-07-31,-19.0,2.0,-17.0,-44.0,-37.0,18
2020-08-01,-18.0,4.0,-18.0,-39.0,-10.0,10
2020-08-02,-22.0,1.0,-11.0,-46.0,-5.0,10
2020-08-03,-20.0,-6.0,-18.0,-45.0,-34.0,18
2020-08-04,-23.0,-6.0,-20.0,-45.0,-35.0,18
2020-08-05,-21.0,-3.0,-17.0,-44.0,-34.0,18
2020-08-06,-20.0,-1.0,-16.0,-45.0,-35.0,18
2020-08-07,-22.0,-3.0,-10.0,-43.0,-35.0,17
2020-08-08,-22.0,-4.0,-14.0,-41.0,-10.0,10
2020-08-09,-31.0,-13.0,-13.0,-52.0,-9.0,11
2020-08-10,-34.0,-24.0,8.0,-58.0,-73.0,26
2020-08-11,-28.0,-13.0,-17.0,-46.0,-32.0,16
2020-08-12,-28.0,-13.0,-16.0,-47.0,-32.0,17
2020-08-13,-26.0,-11.0,-12.0,-47.0,-32.0,16
2020-08-14,-21.0,-4.0,-13.0,-44.0,-31.0,15
2020-08-15,-23.0,-5.0,-24.0,-43.0,-6.0,11
2020-08-16,-30.0,-11.0,-23.0,-50.0,-6.0,11
2020-08-17,-28.0,-16.0,-23.0,-48.0,-31.0,17
2020-08-18,-25.0,-9.0,-22.0,-46.0,-30.0,15
2020-08-19,-26.0,-12.0,-15.0,-47.0,-30.0,15
2020-08-20,-21.0,-5.0,-16.0,-47.0,-30.0,14
2020-08-21,-23.0,-11.0,-14.0,-44.0,-30.0,15
2020-08-22,-23.0,-11.0,-16.0,-42.0,-7.0,9
2020-08-23,-28.0,-15.0,-13.0,-49.0,-6.0,9
2020-08-24,-27.0,-18.0,-20.0,-46.0,-29.0,15
2020-08-25,-17.0,-2.0,-17.0,-43.0,-28.0,14
2020-08-26,-18.0,-3.0,-14.0,-42.0,-27.0,13
2020-08-27,-13.0,4.0,-11.0,-41.0,-28.0,13
2020-08-28,-15.0,-1.0,-15.0,-39.0,-28.0,13
2020-08-29,-14.0,-1.0,-21.0,-37.0,-7.0,7
2020-08-30,-20.0,-4.0,-19.0,-43.0,-5.0,7
2020-08-31,-17.0,-6.0,-19.0,-42.0,-28.0,13
2020-09-01,-18.0,-3.0,-17.0,-41.0,-27.0,13
2020-09-02,-21.0,-7.0,-17.0,-44.0,-28.0,13
2020-09-03,-12.0,4.0,-8.0,-40.0,-27.0,11
2020-09-04,-14.0,-1.0,-8.0,-37.0,-27.0,10
2020-09-05,-14.0,-2.0,-17.0,-34.0,-8.0,6
2020-09-06,-20.0,-6.0,-8.0,-41.0,-6.0,7
2020-09-07,-17.0,-7.0,-10.0,-39.0,-28.0,12
2020-09-08,-20.0,-6.0,-9.0,-37.0,-27.0,13
2020-09-09,-20.0,-8.0,-8.0,-39.0,-26.0,13
2020-09-10,-17.0,-2.0,-8.0,-39.0,-27.0,13
2020-09-11,-18.0,-6.0,-9.0,-36.0,-26.0,12
2020-09-12,-18.0,-7.0,-8.0,-33.0,-7.0,6
2020-09-13,-26.0,-12.0,-14.0,-43.0,-6.0,8
2020-09-14,-25.0,-16.0,-16.0,-40.0,-25.0,14
2020-09-15,-20.0,-7.0,-15.0,-38.0,-24.0,13
2020-09-16,-21.0,-8.0,-14.0,-39.0,-25.0,14
2020-09-17,-18.0,-5.0,-10.0,-38.0,-25.0,13
2020-09-18,-18.0,-7.0,-14.0,-35.0,-24.0,13
2020-09-19,-18.0,-7.0,-15.0,-33.0,-6.0,8
2020-09-20,-26.0,-12.0,-19.0,-43.0,-7.0,9
2020-09-21,-24.0,-15.0,-18.0,-39.0,-26.0,14
2020-09-22,-25.0,-12.0,-21.0,-38.0,-26.0,14
2020-09-23,-15.0,0.0,-18.0,-34.0,-26.0,11
2020-09-24,-24.0,-9.0,11.0,-49.0,-70.0,22
2020-09-25,-12.0,8.0,-14.0,-37.0,-40.0,15
2020-09-26,-14.0,0.0,-18.0,-31.0,-12.0,8
2020-09-27,-19.0,-2.0,-20.0,-35.0,-8.0,6
2020-09-28,-20.0,-6.0,-29.0,-35.0,-26.0,14
2020-09-29,-20.0,-4.0,-31.0,-33.0,-24.0,14
2020-09-30,-14.0,4.0,-33.0,-33.0,-24.0,12
2020-10-01,-12.0,9.0,-39.0,-31.0,-24.0,12
2020-10-02,-13.0,8.0,-40.0,-27.0,-24.0,11
2020-10-03,-11.0,3.0,-36.0,-25.0,-9.0,6
2020-10-04,-16.0,-1.0,-26.0,-31.0,-9.0,6
2020-10-05,-21.0,-6.0,-40.0,-33.0,-25.0,12
2020-10-06,-20.0,-3.0,-38.0,-32.0,-24.0,11
2020-10-07,-17.0,1.0,-30.0,-34.0,-24.0,12
2020-10-08,-15.0,3.0,-25.0,-32.0,-22.0,12
2020-10-09,-15.0,2.0,-27.0,-29.0,-21.0,11
2020-10-10,-16.0,-5.0,-29.0,-30.0,-5.0,8
2020-10-11,-27.0,-13.0,-29.0,-43.0,-8.0,10
2020-10-12,-25.0,-12.0,-30.0,-35.0,-23.0,14
2020-10-13,-24.0,-10.0,-31.0,-33.0,-22.0,14
2020-10-14,-22.0,-7.0,-29.0,-33.0,-21.0,13
2020-10-15,-14.0,3.0,-32.0,-31.0,-21.0,13
2020-10-16,-13.0,5.0,-29.0,-28.0,-21.0,11
2020-10-17,-17.0,-4.0,-30.0,-29.0,-6.0,8
2020-10-18,-24.0,-9.0,-27.0,-38.0,-7.0,9
2020-10-19,-25.0,-12.0,-37.0,-35.0,-22.0,14
2020-10-20,-24.0,-9.0,-36.0,-33.0,-22.0,13
2020-10-21,-22.0,-7.0,-31.0,-34.0,-21.0,13
2020-10-22,-17.0,-2.0,-25.0,-32.0,-21.0,13
2020-10-23,-8.0,10.0,-22.0,-24.0,-20.0,10
2020-10-24,-8.0,5.0,-22.0,-24.0,-4.0,6
2020-10-25,-14.0,2.0,-19.0,-34.0,-4.0,6
2020-10-26,-16.0,-3.0,-26.0,-31.0,-27.0,13
2020-10-27,-14.0,2.0,-25.0,-29.0,-26.0,13
2020-10-28,-12.0,2.0,-26.0,-30.0,-26.0,13
2020-10-29,-9.0,6.0,-31.0,-29.0,-27.0,13
2020-10-30,-3.0,14.0,-29.0,-22.0,-26.0,10
2020-10-31,-7.0,5.0,-30.0,-22.0,-5.0,5
2020-11-01,-12.0,5.0,-31.0,-29.0,-5.0,6
2020-11-02,-14.0,0.0,-34.0,-28.0,-20.0,11
2020-11-03,-14.0,3.0,-33.0,-27.0,-19.0,12
2020-11-04,-14.0,3.0,-32.0,-29.0,-18.0,12
2020-11-05,-12.0,6.0,-32.0,-30.0,-19.0,13
2020-11-06,-10.0,8.0,-28.0,-24.0,-18.0,10
2020-11-07,-12.0,0.0,-29.0,-26.0,-3.0,7
2020-11-08,-20.0,-5.0,-30.0,-36.0,-4.0,8
2020-11-09,-22.0,-10.0,-34.0,-33.0,-20.0,13
2020-11-10,-24.0,-11.0,-37.0,-34.0,-21.0,14
2020-11-11,-20.0,-7.0,-31.0,-32.0,-19.0,13
2020-11-12,-16.0,-1.0,-25.0,-30.0,-19.0,12
2020-11-13,-10.0,5.0,-27.0,-26.0,-19.0,10
2020-11-14,-13.0,0.0,-29.0,-26.0,-3.0,7
2020-11-15,-20.0,-5.0,-27.0,-35.0,-4.0,8
2020-11-16,-22.0,-10.0,-33.0,-31.0,-20.0,13
2020-11-17,-22.0,-9.0,-34.0,-31.0,-20.0,13
2020-11-18,-22.0,-8.0,-32.0,-35.0,-21.0,14
2020-11-19,-18.0,-4.0,-32.0,-31.0,-20.0,13
2020-11-20,-14.0,1.0,-30.0,-25.0,-19.0,11
2020-11-21,-15.0,-2.0,-36.0,-29.0,-3.0,9
2020-11-22,-23.0,-7.0,-34.0,-38.0,-5.0,9
2020-11-23,-23.0,-13.0,-37.0,-34.0,-20.0,13
2020-11-24,-20.0,-7.0,-37.0,-31.0,-20.0,13
2020-11-25,-5.0,12.0,-31.0,-27.0,-17.0,11
2020-11-26,2.0,21.0,-29.0,-23.0,-18.0,10
2020-11-27,4.0,21.0,-28.0,-14.0,-18.0,7
2020-11-28,2.0,15.0,-29.0,-14.0,1.0,4
2020-11-29,-2.0,13.0,-25.0,-23.0,2.0,5
2020-11-30,-6.0,7.0,-30.0,-23.0,-18.0,10
2020-12-01,-5.0,13.0,-30.0,-19.0,-17.0,10
2020-12-02,-3.0,15.0,-27.0,-20.0,-16.0,11
2020-12-03,2.0,21.0,-26.0,-19.0,-17.0,11
2020-12-04,0.0,16.0,-25.0,-14.0,-17.0,9
2020-12-05,-1.0,11.0,-29.0,-14.0,1.0,5
2020-12-06,-7.0,6.0,-22.0,-22.0,2.0,5
2020-12-07,-12.0,-1.0,-29.0,-24.0,-21.0,12
2020-12-08,-12.0,1.0,-29.0,-23.0,-19.0,12
2020-12-09,-9.0,2.0,-21.0,-23.0,-19.0,12
2020-12-10,-6.0,7.0,-18.0,-20.0,-20.0,13
2020-12-11,-5.0,8.0,-18.0,-15.0,-19.0,11
2020-12-12,-8.0,4.0,-23.0,-14.0,0.0,6
2020-12-13,-11.0,3.0,-11.0,-21.0,2.0,7
2020-12-14,-11.0,-1.0,-20.0,-25.0,-25.0,14
2020-12-15,6.0,19.0,-13.0,-14.0,-26.0,10
2020-12-16,-8.0,5.0,1.0,-33.0,-66.0,22
2020-12-17,2.0,21.0,-9.0,-21.0,-35.0,14
2020-12-18,-1.0,15.0,-12.0,-14.0,-36.0,14
2020-12-19,-2.0,12.0,-13.0,-5.0,-5.0,6
2020-12-20,-4.0,11.0,-3.0,-14.0,0.0,6
2020-12-21,4.0,18.0,-1.0,-23.0,-45.0,16
2020-12-22,5.0,22.0,1.0,-20.0,-47.0,15
2020-12-23,10.0,36.0,5.0,-20.0,-49.0,15
2020-12-24,11.0,54.0,11.0,-21.0,-57.0,15
2020-12-25,-67.0,-54.0,3.0,-59.0,-83.0,27
2020-12-26,-43.0,-31.0,-8.0,-45.0,-42.0,15
2020-12-27,-25.0,-12.0,2.0,-36.0,-15.0,10
2020-12-28,-11.0,6.0,14.0,-41.0,-60.0,22
2020-12-29,-25.0,-5.0,-1.0,-43.0,-61.0,25
2020-12-30,-21.0,1.0,4.0,-44.0,-60.0,24
2020-12-31,-16.0,22.0,4.0,-43.0,-62.0,22
2021-01-01,-66.0,-52.0,-8.0,-65.0,-83.0,36
2021-01-02,-35.0,-15.0,-26.0,-41.0,-30.0,18
2021-01-03,-32.0,-11.0,-19.0,-35.0,-13.0,14
2021-01-04,-18.0,3.0,-16.0,-38.0,-48.0,22
2021-01-05,-24.0,-2.0,-19.0,-39.0,-47.0,23
2021-01-06,-23.0,0.0,-18.0,-39.0,-44.0,23
2021-01-07,-23.0,-1.0,-18.0,-41.0,-43.0,23
2021-01-08,-28.0,-5.0,-25.0,-42.0,-42.0,23
2021-01-09,-30.0,-9.0,-35.0,-40.0,-12.0,15
2021-01-10,-36.0,-13.0,-33.0,-46.0,-11.0,15
2021-01-11,-28.0,-10.0,-31.0,-46.0,-37.0,21
2021-01-12,-31.0,-13.0,-31.0,-45.0,-37.0,20
2021-01-13,-33.0,-15.0,-32.0,-49.0,-38.0,19
2021-01-14,-34.0,-17.0,-34.0,-53.0,-41.0,19
2021-01-15,-34.0,-15.0,-41.0,-53.0,-41.0,18
2021-01-16,-35.0,-17.0,-46.0,-53.0,-21.0,13
2021-01-17,-39.0,-19.0,-38.0,-57.0,-20.0,13
2021-01-18,-35.0,-21.0,-39.0,-54.0,-40.0,18
2021-01-19,-36.0,-21.0,-39.0,-53.0,-40.0,19
2021-01-20,-33.0,-17.0,-37.0,-53.0,-39.0,20
2021-01-21,-32.0,-14.0,-36.0,-53.0,-38.0,20
2021-01-22,-31.0,-12.0,-37.0,-50.0,-37.0,19
2021-01-23,-29.0,-9.0,-42.0,-49.0,-15.0,13
2021-01-24,-37.0,-16.0,-42.0,-56.0,-17.0,15
2021-01-25,-29.0,-13.0,-40.0,-52.0,-36.0,19
2021-01-26,-27.0,-9.0,-37.0,-48.0,-34.0,18
2021-01-27,-25.0,-7.0,-37.0,-48.0,-33.0,18
2021-01-28,-23.0,-4.0,-36.0,-48.0,-34.0,18
2021-01-29,-19.0,3.0,-36.0,-41.0,-32.0,16
2021-01-30,-15.0,6.0,-41.0,-38.0,-10.0,10
2021-01-31,-19.0,6.0,-40.0,-44.0,-10.0,11
2021-02-01,-21.0,-4.0,-42.0,-43.0,-29.0,16
2021-02-02,-19.0,0.0,-35.0,-43.0,-29.0,15
2021-02-03,-19.0,-1.0,-33.0,-43.0,-28.0,16
2021-02-04,-18.0,1.0,-33.0,-44.0,-28.0,16
2021-02-05,-18.0,-2.0,-31.0,-40.0,-27.0,13
2021-02-06,-18.0,-4.0,-32.0,-41.0,-10.0,9
2021-02-07,-25.0,-8.0,-29.0,-45.0,-11.0,10
2021-02-08,-22.0,-9.0,-35.0,-42.0,-29.0,15
2021-02-09,-23.0,-7.0,-35.0,-42.0,-28.0,15
2021-02-10,-21.0,-6.0,-32.0,-43.0,-27.0,14
2021-02-11,-17.0,1.0,-34.0,-42.0,-27.0,14
2021-02-12,-18.0,-3.0,-36.0,-37.0,-26.0,14
2021-02-13,-14.0,0.0,-35.0,-38.0,-8.0,9
2021-02-14,-11.0,2.0,-34.0,-41.0,-7.0,10
2021-02-15,-19.0,-5.0,-45.0,-42.0,-26.0,14
2021-02-16,-22.0,-5.0,-44.0,-41.0,-26.0,14
2021-02-17,-20.0,-3.0,-40.0,-41.0,-24.0,14
2021-02-18,-18.0,0.0,-41.0,-40.0,-24.0,14
2021-02-19,-18.0,-3.0,-40.0,-36.0,-23.0,13
2021-02-20,-17.0,-2.0,-38.0,-38.0,-5.0,10
2021-02-21,-24.0,-6.0,-38.0,-42.0,-7.0,11
2021-02-22,-26.0,-13.0,-46.0,-43.0,-24.0,15
2021-02-23,-23.0,-9.0,-44.0,-41.0,-23.0,14
2021-02-24,-22.0,-8.0,-42.0,-40.0,-23.0,14
2021-02-25,-6.0,13.0,-42.0,-35.0,-22.0,12
2021-02-26,-3.0,14.0,-40.0,-27.0,-21.0,10
2021-02-27,5.0,22.0,-34.0,-23.0,-1.0,5
2021-02-28,2.0,23.0,-27.0,-27.0,1.0,5
2021-03-01,-5.0,13.0,-39.0,-27.0,-20.0,11
2021-03-02,-9.0,11.0,-38.0,-29.0,-20.0,12
2021-03-03,-7.0,13.0,-37.0,-30.0,-19.0,12
2021-03-04,-7.0,13.0,-37.0,-30.0,-20.0,12
2021-03-05,-4.0,16.0,-35.0,-24.0,-18.0,10
2021-03-06,-3.0,14.0,-32.0,-25.0,-2.0,7
2021-03-07,-11.0,9.0,-31.0,-30.0,-2.0,8
2021-03-08,-16.0,-1.0,-41.0,-31.0,-20.0,13
2021-03-09,-18.0,-1.0,-41.0,-33.0,-20.0,13
2021-03-10,-17.0,0.0,-41.0,-34.0,-20.0,13
2021-03-11,-14.0,3.0,-38.0,-33.0,-20.0,12
2021-03-12,-12.0,5.0,-37.0,-28.0,-18.0,10
2021-03-13,-10.0,5.0,-35.0,-30.0,-2.0,7
2021-03-14,-17.0,0.0,-34.0,-35.0,-4.0,8
2021-03-15,-15.0,0.0,-43.0,-33.0,-19.0,12
2021-03-16,-17.0,-1.0,-41.0,-33.0,-19.0,11
2021-03-17,-16.0,0.0,-39.0,-34.0,-18.0,12
2021-03-18,-13.0,5.0,-37.0,-31.0,-18.0,12
2021-03-19,-9.0,10.0,-34.0,-24.0,-18.0,10
2021-03-20,-9.0,8.0,-33.0,-28.0,-5.0,8
2021-03-21,-16.0,-1.0,-24.0,-37.0,-6.0,9
2021-03-22,-25.0,-16.0,-22.0,-49.0,-72.0,26
2021-03-23,-21.0,-3.0,-42.0,-30.0,-17.0,12
2021-03-24,-18.0,-1.0,-40.0,-34.0,-18.0,14
2021-03-25,-4.0,18.0,-39.0,-28.0,-17.0,12
2021-03-26,1.0,23.0,-37.0,-19.0,-16.0,10
2021-03-27,4.0,23.0,-35.0,-19.0,3.0,6
2021-03-28,-5.0,18.0,-32.0,-26.0,1.0,8
2021-03-29,-10.0,7.0,-37.0,-27.0,-18.0,12
2021-03-30,-8.0,12.0,-37.0,-25.0,-17.0,11
2021-03-31,2.0,24.0,-34.0,-20.0,-17.0,10
2021-04-01,20.0,51.0,-23.0,-5.0,-20.0,7
2021-04-02,-30.0,-10.0,-12.0,-39.0,-75.0,25
2021-04-03,-7.0,12.0,-16.0,-31.0,-20.0,8
2021-04-04,-17.0,-2.0,-8.0,-35.0,-10.0,7
