date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,1.1400000000000001,1.06,1.46,1.16,1.04,0.98
2020-02-16,1.2,1.1,1.52,1.18,1.03,0.98
2020-02-17,1.06,1.04,1.25,1.06,1.03,1.0
2020-02-18,1.05,1.04,1.24,1.05,1.02,1.0
2020-02-19,1.03,1.02,1.16,1.02,1.02,0.99
2020-02-20,1.04,1.02,1.1400000000000001,1.04,1.02,1.0
2020-02-21,1.02,1.02,1.01,1.01,1.01,1.0
2020-02-22,1.08,1.03,1.3599999999999999,1.11,1.03,0.99
2020-02-23,1.11,1.06,1.23,1.1400000000000001,1.02,0.98
2020-02-24,1.02,1.04,1.21,1.03,1.03,1.0
2020-02-25,1.05,1.06,1.42,1.06,1.03,0.99
2020-02-26,0.97,1.05,1.0,0.98,1.01,1.01
2020-02-27,1.03,1.1,1.07,1.02,1.02,1.0
2020-02-28,1.0,1.06,0.95,1.0,1.0,1.01
2020-02-29,1.02,1.03,1.1,1.05,1.04,1.0
2020-03-01,1.05,1.03,1.09,1.07,1.03,0.99
2020-03-02,1.0,1.02,1.15,1.02,1.03,1.0
2020-03-03,1.01,1.03,1.04,1.01,1.03,1.0
2020-03-04,1.02,1.04,1.03,1.0,1.02,1.0
2020-03-05,1.07,1.09,1.18,1.05,1.03,0.99
2020-03-06,1.03,1.07,0.9,1.0,1.0,1.01
2020-03-07,1.11,1.12,1.12,1.08,1.03,0.99
2020-03-08,1.24,1.24,1.31,1.17,1.05,0.98
2020-03-09,1.05,1.06,1.25,1.03,1.03,1.0
2020-03-10,1.07,1.1,1.32,1.04,1.02,0.99
2020-03-11,1.03,1.18,1.15,1.01,1.01,1.0
2020-03-12,1.05,1.23,1.35,1.0,0.99,1.0
2020-03-13,0.96,1.23,0.97,0.91,0.96,1.03
2020-03-14,0.9,1.22,1.1,0.92,0.99,1.02
2020-03-15,0.5800000000000001,0.25,1.38,0.83,0.84,1.03
2020-03-16,0.9,1.35,1.0,0.72,0.76,1.09
2020-03-17,0.69,1.12,1.08,0.64,0.6799999999999999,1.13
2020-03-18,0.64,1.04,1.05,0.6,0.64,1.15
2020-03-19,0.5900000000000001,0.92,0.99,0.5700000000000001,0.61,1.16
2020-03-20,0.55,0.86,0.97,0.55,0.6,1.17
2020-03-21,0.43000000000000005,0.73,0.54,0.53,0.76,1.12
2020-03-22,0.36,0.64,0.51,0.44999999999999996,0.71,1.1
2020-03-23,0.45999999999999996,0.74,0.5,0.42000000000000004,0.54,1.21
2020-03-24,0.45999999999999996,0.75,0.62,0.43000000000000005,0.52,1.22
2020-03-25,0.43999999999999995,0.73,0.55,0.42000000000000004,0.52,1.22
2020-03-26,0.47,0.76,0.6799999999999999,0.44999999999999996,0.52,1.22
2020-03-27,0.56,0.94,0.91,0.52,0.54,1.19
2020-03-28,0.33999999999999997,0.6,0.79,0.48,0.6799999999999999,1.13
2020-03-29,0.33999999999999997,0.5700000000000001,0.9299999999999999,0.47,0.6799999999999999,1.1
2020-03-30,0.43000000000000005,0.71,0.5800000000000001,0.41000000000000003,0.51,1.22
2020-03-31,0.44999999999999996,0.74,0.76,0.43999999999999995,0.51,1.21
2020-04-01,0.45999999999999996,0.73,0.85,0.45999999999999996,0.52,1.21
2020-04-02,0.49,0.8,0.83,0.47,0.52,1.21
2020-04-03,0.5,0.84,0.87,0.49,0.53,1.21
2020-04-04,0.45999999999999996,0.78,0.96,0.5700000000000001,0.7,1.11
2020-04-05,0.45999999999999996,0.73,1.2,0.56,0.71,1.08
2020-04-06,0.56,0.84,0.96,0.49,0.53,1.19
2020-04-07,0.5800000000000001,0.91,1.08,0.51,0.52,1.19
2020-04-08,0.5900000000000001,1.02,1.05,0.51,0.52,1.17
2020-04-09,0.71,1.22,1.02,0.56,0.49,1.17
2020-04-10,0.18999999999999995,0.14,0.91,0.30000000000000004,0.16000000000000003,1.32
2020-04-11,0.49,0.96,0.79,0.5700000000000001,0.62,1.11
2020-04-12,0.22999999999999998,0.15000000000000002,0.95,0.47,0.6,1.09
2020-04-13,0.16000000000000003,0.09999999999999998,0.91,0.25,0.12,1.33
2020-04-14,0.55,0.88,0.7,0.45999999999999996,0.51,1.2
2020-04-15,0.54,0.83,0.9,0.49,0.53,1.19
2020-04-16,0.56,0.85,0.96,0.5,0.54,1.19
2020-04-17,0.56,0.86,1.01,0.52,0.55,1.19
2020-04-18,0.48,0.79,0.92,0.61,0.78,1.09
2020-04-19,0.41000000000000003,0.69,0.7,0.49,0.74,1.09
2020-04-20,0.55,0.81,0.96,0.49,0.5700000000000001,1.18
2020-04-21,0.55,0.8200000000000001,1.04,0.5,0.56,1.18
2020-04-22,0.54,0.8,1.07,0.5,0.56,1.17
2020-04-23,0.54,0.84,1.02,0.5,0.56,1.18
2020-04-24,0.54,0.84,1.02,0.51,0.56,1.18
2020-04-25,0.48,0.79,0.81,0.5800000000000001,0.77,1.09
2020-04-26,0.48,0.74,1.07,0.5800000000000001,0.79,1.06
2020-04-27,0.56,0.8,1.02,0.5,0.5800000000000001,1.17
2020-04-28,0.5700000000000001,0.83,1.18,0.52,0.5800000000000001,1.15
2020-04-29,0.55,0.86,0.88,0.5,0.5700000000000001,1.17
2020-04-30,0.6799999999999999,1.13,1.09,0.56,0.5700000000000001,1.15
2020-05-01,0.20999999999999996,0.13,0.89,0.29000000000000004,0.17000000000000004,1.31
2020-05-02,0.5800000000000001,0.96,1.01,0.65,0.74,1.07
2020-05-03,0.5700000000000001,0.85,0.91,0.6599999999999999,0.86,1.04
2020-05-04,0.6599999999999999,0.8200000000000001,1.1,0.54,0.62,1.15
2020-05-05,0.65,0.87,0.96,0.53,0.61,1.16
2020-05-06,0.65,0.87,0.95,0.54,0.62,1.16
2020-05-07,0.6799999999999999,0.92,1.04,0.56,0.62,1.15
2020-05-08,0.72,0.97,1.22,0.5900000000000001,0.62,1.1400000000000001
2020-05-09,0.7,0.94,1.3900000000000001,0.74,0.87,1.04
2020-05-10,0.74,0.89,1.51,0.72,0.9,1.03
2020-05-11,0.72,0.91,1.11,0.5700000000000001,0.63,1.1400000000000001
2020-05-12,0.6799999999999999,0.9299999999999999,0.9299999999999999,0.56,0.62,1.15
2020-05-13,0.6699999999999999,0.89,0.94,0.56,0.63,1.15
2020-05-14,0.71,0.94,1.11,0.5900000000000001,0.64,1.13
2020-05-15,0.7,0.94,0.98,0.5800000000000001,0.63,1.1400000000000001
2020-05-16,0.71,0.9299999999999999,1.38,0.76,0.9,1.03
2020-05-17,0.7,0.86,1.22,0.6699999999999999,0.91,1.04
2020-05-18,0.8200000000000001,0.91,1.41,0.63,0.6599999999999999,1.12
2020-05-19,0.78,0.9,1.27,0.62,0.6599999999999999,1.12
2020-05-20,0.77,0.91,1.2,0.62,0.65,1.13
2020-05-21,0.8200000000000001,0.96,1.32,0.65,0.64,1.13
2020-05-22,0.83,0.94,1.45,0.6699999999999999,0.6599999999999999,1.11
2020-05-23,0.79,0.9,1.44,0.81,0.95,1.02
2020-05-24,0.81,0.88,1.25,0.73,0.95,1.02
2020-05-25,0.8,0.89,1.04,0.61,0.6699999999999999,1.13
2020-05-26,0.8,0.9,1.15,0.63,0.6799999999999999,1.12
2020-05-27,0.8,0.9,1.23,0.65,0.6799999999999999,1.11
2020-05-28,0.83,0.96,1.15,0.6599999999999999,0.69,1.11
2020-05-29,0.85,1.01,1.21,0.6799999999999999,0.6699999999999999,1.1
2020-05-30,0.87,1.08,1.49,0.85,1.01,1.0
2020-05-31,0.56,0.22999999999999998,1.09,0.62,0.9,1.03
2020-06-01,0.53,0.18999999999999995,2.5700000000000003,0.45999999999999996,0.19999999999999996,1.21
2020-06-02,0.91,1.06,1.34,0.72,0.72,1.08
2020-06-03,0.9,0.97,1.37,0.73,0.73,1.09
2020-06-04,0.91,0.99,1.33,0.73,0.73,1.09
2020-06-05,0.88,1.02,1.04,0.71,0.73,1.09
2020-06-06,0.9299999999999999,0.98,1.81,0.9299999999999999,1.06,0.99
2020-06-07,1.0,0.94,1.69,0.88,1.09,0.99
2020-06-08,0.9299999999999999,0.98,1.34,0.72,0.74,1.08
2020-06-09,0.92,0.97,1.33,0.73,0.74,1.08
2020-06-10,0.9299999999999999,0.99,1.24,0.73,0.73,1.08
2020-06-11,0.98,1.03,1.37,0.76,0.73,1.07
2020-06-12,0.99,1.05,1.5699999999999998,0.79,0.74,1.06
2020-06-13,0.94,0.97,1.81,0.94,1.08,0.98
2020-06-14,0.9299999999999999,0.92,1.29,0.83,1.09,0.99
2020-06-15,0.97,1.0,1.26,0.75,0.75,1.07
2020-06-16,0.95,0.99,1.29,0.76,0.75,1.07
2020-06-17,0.9299999999999999,0.97,1.23,0.76,0.74,1.07
2020-06-18,0.96,1.01,1.26,0.76,0.74,1.06
2020-06-19,0.98,1.02,1.51,0.8,0.74,1.05
2020-06-20,0.91,0.98,1.38,0.88,1.05,0.99
2020-06-21,0.97,0.99,1.31,0.87,1.09,0.99
2020-06-22,0.98,0.99,1.3599999999999999,0.77,0.73,1.06
2020-06-23,1.02,1.01,1.76,0.8200000000000001,0.73,1.05
2020-06-24,1.01,1.01,1.8,0.8200000000000001,0.75,1.04
2020-06-25,1.0,1.02,1.6600000000000001,0.81,0.75,1.04
2020-06-26,0.96,1.01,1.6600000000000001,0.8,0.73,1.04
2020-06-27,0.94,0.98,1.8900000000000001,0.95,1.03,0.97
2020-06-28,1.03,1.01,1.8900000000000001,0.97,1.11,0.95
2020-06-29,0.9299999999999999,0.97,1.33,0.76,0.73,1.06
2020-06-30,1.03,1.02,1.87,0.83,0.75,1.04
2020-07-01,0.99,0.96,1.78,0.8,0.72,1.04
2020-07-02,1.0,1.04,1.54,0.8200000000000001,0.73,1.04
2020-07-03,1.01,1.06,1.63,0.83,0.73,1.03
2020-07-04,0.99,1.03,1.9300000000000002,0.99,1.03,0.96
2020-07-05,1.11,1.05,2.05,1.03,1.09,0.94
2020-07-06,1.03,1.04,1.7,0.8200000000000001,0.72,1.03
2020-07-07,1.07,1.06,1.8399999999999999,0.83,0.71,1.04
2020-07-08,1.06,1.04,1.95,0.84,0.73,1.03
2020-07-09,1.06,1.06,1.8,0.84,0.72,1.03
2020-07-10,1.04,1.07,1.87,0.85,0.71,1.02
2020-07-11,0.98,1.03,1.74,0.97,1.0,0.96
2020-07-12,1.18,1.11,1.9,1.02,1.07,0.96
2020-07-13,1.09,1.06,1.9300000000000002,0.84,0.71,1.03
2020-07-14,1.07,1.04,2.13,0.86,0.71,1.03
2020-07-15,1.06,1.03,2.08,0.85,0.71,1.03
2020-07-16,1.05,1.04,1.87,0.83,0.71,1.04
2020-07-17,0.98,1.02,1.56,0.8,0.69,1.04
2020-07-18,0.98,1.0,1.83,0.94,0.99,0.98
2020-07-19,1.08,1.02,1.73,0.96,1.04,0.97
2020-07-20,1.07,1.04,2.08,0.83,0.69,1.04
2020-07-21,1.03,1.0,2.1399999999999997,0.83,0.6799999999999999,1.04
2020-07-22,1.05,1.03,2.16,0.83,0.7,1.04
2020-07-23,1.05,1.02,2.04,0.83,0.69,1.04
2020-07-24,0.99,1.01,1.9300000000000002,0.8200000000000001,0.6799999999999999,1.04
2020-07-25,0.96,0.99,1.62,0.9,0.95,0.99
2020-07-26,1.15,1.03,2.2199999999999998,1.05,1.07,0.95
2020-07-27,1.06,1.03,2.12,0.8200000000000001,0.6799999999999999,1.04
2020-07-28,1.03,1.01,2.27,0.83,0.6799999999999999,1.04
2020-07-29,1.02,1.01,2.2199999999999998,0.83,0.6799999999999999,1.04
2020-07-30,1.02,1.0,2.08,0.8200000000000001,0.6699999999999999,1.04
2020-07-31,0.99,1.01,2.13,0.83,0.6699999999999999,1.03
2020-08-01,0.96,0.98,2.3,1.01,0.96,0.95
2020-08-02,1.1400000000000001,1.03,2.33,1.05,1.04,0.9299999999999999
2020-08-03,1.04,1.03,2.01,0.81,0.6799999999999999,1.04
2020-08-04,1.07,1.06,2.0,0.8200000000000001,0.6799999999999999,1.05
2020-08-05,1.1,1.09,2.01,0.83,0.6799999999999999,1.04
2020-08-06,1.1,1.06,2.17,0.85,0.6799999999999999,1.03
2020-08-07,1.05,1.05,2.1799999999999997,0.85,0.6699999999999999,1.01
2020-08-08,1.01,1.02,2.25,1.02,0.96,0.94
2020-08-09,1.16,1.07,2.25,1.06,1.04,0.9299999999999999
2020-08-10,1.09,1.07,2.06,0.83,0.6699999999999999,1.03
2020-08-11,1.08,1.05,2.17,0.83,0.6699999999999999,1.04
2020-08-12,1.11,1.08,2.3600000000000003,0.86,0.6699999999999999,1.02
2020-08-13,1.09,1.06,2.16,0.85,0.6699999999999999,1.03
2020-08-14,1.06,1.05,2.17,0.86,0.6599999999999999,1.02
2020-08-15,1.01,1.01,2.06,1.01,0.97,0.96
2020-08-16,1.21,1.09,2.19,1.06,1.03,0.95
2020-08-17,1.09,1.05,1.98,0.81,0.62,1.05
2020-08-18,1.13,1.12,2.27,0.83,0.63,1.05
2020-08-19,1.21,1.37,2.3899999999999997,0.87,0.61,1.02
2020-08-20,0.72,0.21999999999999997,3.49,0.6,0.20999999999999996,1.1400000000000001
2020-08-21,0.92,0.94,2.9,0.6699999999999999,0.28,1.11
2020-08-22,0.92,0.88,2.56,0.96,0.86,0.95
2020-08-23,1.13,1.03,2.1,1.03,1.03,0.94
2020-08-24,1.08,1.06,1.95,0.85,0.71,1.03
2020-08-25,1.1,1.08,2.13,0.88,0.71,1.03
2020-08-26,1.08,1.05,2.09,0.88,0.72,1.02
2020-08-27,1.07,1.04,1.96,0.87,0.72,1.03
2020-08-28,1.03,1.02,2.0300000000000002,0.86,0.72,1.02
2020-08-29,1.0,1.01,2.0300000000000002,1.08,1.43,0.94
2020-08-30,1.15,1.06,1.97,1.04,1.05,0.95
2020-08-31,1.08,1.09,1.51,0.87,0.74,1.04
2020-09-01,1.02,1.06,1.3900000000000001,0.91,0.74,1.03
2020-09-02,1.02,1.05,1.65,0.9299999999999999,0.77,1.01
2020-09-03,1.02,1.03,1.5699999999999998,0.92,0.76,1.01
2020-09-04,1.03,1.05,1.74,0.94,0.77,1.0
2020-09-05,1.02,1.02,1.96,1.01,1.01,0.97
2020-09-06,1.1400000000000001,1.05,1.9300000000000002,1.04,1.03,0.96
2020-09-07,1.01,1.02,1.47,0.91,0.76,1.02
2020-09-08,1.03,1.04,1.65,0.92,0.76,1.01
2020-09-09,1.0,1.03,1.62,0.91,0.78,1.01
2020-09-10,1.02,1.03,1.58,0.92,0.77,1.01
2020-09-11,1.04,1.07,1.77,0.94,0.77,0.99
2020-09-12,1.02,1.01,2.0700000000000003,1.03,0.99,0.95
2020-09-13,1.13,1.05,1.99,1.06,1.02,0.95
2020-09-14,0.99,1.02,1.58,0.91,0.8200000000000001,1.01
2020-09-15,1.0,1.02,1.7,0.91,0.81,1.01
2020-09-16,0.97,1.01,1.63,0.9,0.81,1.01
2020-09-17,0.94,0.97,1.45,0.87,0.8,1.02
2020-09-18,0.96,1.01,1.56,0.89,0.8,1.01
2020-09-19,0.96,0.96,1.85,0.98,0.98,0.98
2020-09-20,1.08,1.02,1.8599999999999999,1.0,1.01,0.97
2020-09-21,0.95,0.99,1.47,0.88,0.81,1.03
2020-09-22,0.9299999999999999,0.99,1.5899999999999999,0.89,0.81,1.03
2020-09-23,0.89,0.99,1.42,0.88,0.8200000000000001,1.03
2020-09-24,0.9,0.98,1.42,0.88,0.8200000000000001,1.03
2020-09-25,0.88,0.99,1.28,0.86,0.81,1.04
2020-09-26,0.85,0.96,1.19,0.84,0.96,1.02
2020-09-27,0.97,1.0,1.53,0.94,1.0,1.0
2020-09-28,0.85,0.96,1.03,0.84,0.84,1.05
2020-09-29,0.9,1.0,1.24,0.87,0.84,1.04
2020-09-30,0.87,0.98,1.07,0.85,0.84,1.04
2020-10-01,0.87,0.99,1.07,0.84,0.85,1.04
2020-10-02,0.9299999999999999,1.06,1.3599999999999999,0.89,0.85,1.02
2020-10-03,0.95,0.99,1.85,1.0,0.98,0.98
2020-10-04,1.04,1.03,1.5699999999999998,0.96,0.98,0.99
2020-10-05,0.9299999999999999,1.02,1.25,0.9,0.85,1.03
