date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,-2.0,-1.0,-4.0,2.0,-6.0,0.0
2020-02-16,-7.0,-7.0,-33.0,-5.0,-6.0,1.0
2020-02-17,-3.0,-1.0,0.0,-3.0,-2.0,1.0
2020-02-18,1.0,1.0,9.0,-1.0,-1.0,1.0
2020-02-19,0.0,0.0,12.0,-2.0,-1.0,1.0
2020-02-20,1.0,-1.0,-3.0,-1.0,-2.0,1.0
2020-02-21,1.0,1.0,15.0,-1.0,-3.0,1.0
2020-02-22,-6.0,-3.0,-24.0,-4.0,-3.0,1.0
2020-02-23,1.0,-2.0,-9.0,0.0,0.0,0.0
2020-02-24,-2.0,-1.0,12.0,2.0,2.0,0.0
2020-02-25,-3.0,-3.0,-4.0,1.0,3.0,1.0
2020-02-26,-2.0,-2.0,1.0,0.0,3.0,1.0
2020-02-27,2.0,1.0,21.0,2.0,3.0,0.0
2020-02-28,17.0,1.0,23.0,6.0,2.0,-1.0
2020-02-29,10.0,-4.0,-17.0,5.0,0.0,0.0
2020-03-01,21.0,-7.0,-5.0,5.0,1.0,0.0
2020-03-02,11.0,-5.0,28.0,1.0,2.0,0.0
2020-03-03,10.0,-5.0,9.0,-1.0,2.0,0.0
2020-03-04,9.0,-5.0,16.0,1.0,2.0,0.0
2020-03-05,10.0,-3.0,30.0,-1.0,2.0,0.0
2020-03-06,7.0,-3.0,11.0,-2.0,1.0,0.0
2020-03-07,10.0,-2.0,47.0,7.0,1.0,-1.0
2020-03-08,11.0,-8.0,-7.0,-1.0,-2.0,0.0
2020-03-09,5.0,-5.0,14.0,-3.0,0.0,1.0
2020-03-10,3.0,-4.0,-6.0,-7.0,0.0,2.0
2020-03-11,5.0,5.0,25.0,-10.0,-1.0,2.0
2020-03-12,-11.0,22.0,-16.0,-36.0,-28.0,12.0
2020-03-13,-28.0,-7.0,2.0,-48.0,-44.0,16.0
2020-03-14,-31.0,-9.0,86.0,-36.0,-16.0,8.0
2020-03-15,-33.0,-24.0,-8.0,-50.0,-22.0,8.0
2020-03-16,-24.0,-14.0,50.0,-52.0,-50.0,17.0
2020-03-17,-25.0,-4.0,38.0,-55.0,-52.0,18.0
2020-03-18,-41.0,-21.0,11.0,-61.0,-54.0,20.0
2020-03-19,-39.0,-20.0,104.0,-58.0,-55.0,19.0
2020-03-20,-44.0,-22.0,64.0,-62.0,-56.0,21.0
2020-03-21,-48.0,-21.0,85.0,-55.0,-27.0,11.0
2020-03-22,-38.0,-25.0,49.0,-60.0,-28.0,9.0
2020-03-23,-36.0,-20.0,54.0,-60.0,-55.0,19.0
2020-03-24,-36.0,-18.0,61.0,-60.0,-55.0,19.0
2020-03-25,-37.0,-18.0,67.0,-59.0,-55.0,19.0
2020-03-26,-36.0,-17.0,91.0,-59.0,-55.0,19.0
2020-03-27,-39.0,-18.0,96.0,-61.0,-55.0,19.0
2020-03-28,-43.0,-14.0,79.0,-56.0,-28.0,10.0
2020-03-29,-37.0,-22.0,35.0,-60.0,-28.0,9.0
2020-03-30,-33.0,-18.0,53.0,-59.0,-54.0,18.0
2020-03-31,-23.0,-4.0,70.0,-54.0,-53.0,17.0
2020-04-01,-32.0,-12.0,13.0,-58.0,-54.0,19.0
2020-04-02,-34.0,-13.0,11.0,-61.0,-55.0,20.0
2020-04-03,-35.0,-10.0,32.0,-61.0,-55.0,19.0
2020-04-04,-38.0,-8.0,59.0,-53.0,-25.0,10.0
2020-04-05,-22.0,-12.0,118.0,-49.0,-23.0,7.0
2020-04-06,-15.0,-5.0,161.0,-52.0,-59.0,16.0
2020-04-07,-13.0,4.0,167.0,-51.0,-59.0,16.0
2020-04-08,-9.0,11.0,131.0,-51.0,-60.0,15.0
2020-04-09,-40.0,-16.0,188.0,-62.0,-82.0,22.0
2020-04-10,-60.0,-36.0,172.0,-65.0,-82.0,24.0
2020-04-11,-31.0,4.0,50.0,-52.0,-23.0,8.0
2020-04-12,-36.0,-20.0,123.0,-47.0,-23.0,6.0
2020-04-13,-56.0,-30.0,107.0,-65.0,-84.0,24.0
2020-04-14,-15.0,4.0,65.0,-53.0,-49.0,16.0
2020-04-15,-23.0,-5.0,58.0,-51.0,-48.0,17.0
2020-04-16,-23.0,-4.0,95.0,-50.0,-47.0,16.0
2020-04-17,-26.0,-6.0,127.0,-50.0,-45.0,15.0
2020-04-18,-33.0,-5.0,121.0,-43.0,-14.0,7.0
2020-04-19,-21.0,-12.0,127.0,-43.0,-14.0,5.0
2020-04-20,-14.0,-5.0,126.0,-42.0,-41.0,13.0
2020-04-21,-15.0,-2.0,142.0,-40.0,-39.0,13.0
2020-04-22,-18.0,-4.0,137.0,-40.0,-39.0,12.0
2020-04-23,-18.0,-3.0,171.0,-40.0,-39.0,12.0
2020-04-24,-25.0,-5.0,117.0,-46.0,-40.0,13.0
2020-04-25,-29.0,-3.0,123.0,-40.0,-13.0,6.0
2020-04-26,-22.0,-12.0,80.0,-45.0,-16.0,5.0
2020-04-27,-20.0,-9.0,55.0,-44.0,-39.0,13.0
2020-04-28,-20.0,-6.0,99.0,-39.0,-37.0,11.0
2020-04-29,-26.0,-9.0,15.0,-45.0,-38.0,14.0
2020-04-30,-28.0,-1.0,11.0,-44.0,-39.0,14.0
2020-05-01,-29.0,0.0,68.0,-46.0,-49.0,16.0
2020-05-02,-34.0,0.0,54.0,-40.0,-14.0,7.0
2020-05-03,-20.0,-7.0,106.0,-35.0,-9.0,4.0
2020-05-04,-21.0,-2.0,83.0,-37.0,-35.0,11.0
2020-05-05,-22.0,0.0,96.0,-35.0,-33.0,11.0
2020-05-06,-22.0,2.0,77.0,-35.0,-33.0,11.0
2020-05-07,-12.0,17.0,150.0,-31.0,-33.0,7.0
2020-05-08,-56.0,-30.0,226.0,-51.0,-78.0,19.0
2020-05-09,-22.0,11.0,173.0,-27.0,-6.0,3.0
2020-05-10,-17.0,1.0,78.0,-33.0,-5.0,2.0
2020-05-11,-16.0,1.0,62.0,-35.0,-32.0,11.0
2020-05-12,-21.0,1.0,42.0,-36.0,-31.0,11.0
2020-05-13,-20.0,1.0,82.0,-33.0,-30.0,11.0
2020-05-14,-19.0,1.0,77.0,-35.0,-30.0,9.0
2020-05-15,-25.0,-2.0,57.0,-39.0,-31.0,10.0
2020-05-16,-30.0,0.0,38.0,-37.0,-8.0,6.0
2020-05-17,-22.0,-6.0,33.0,-41.0,-7.0,5.0
2020-05-18,-13.0,-3.0,32.0,-32.0,-25.0,9.0
2020-05-19,-9.0,3.0,103.0,-26.0,-22.0,8.0
2020-05-20,6.0,15.0,172.0,-18.0,-22.0,4.0
2020-05-21,-38.0,-21.0,337.0,-42.0,-77.0,16.0
2020-05-22,-7.0,2.0,144.0,-44.0,-60.0,14.0
2020-05-23,-17.0,-1.0,121.0,-28.0,2.0,3.0
2020-05-24,-15.0,-8.0,15.0,-36.0,-3.0,2.0
2020-05-25,-5.0,-1.0,107.0,-27.0,-24.0,7.0
2020-05-26,-4.0,0.0,156.0,-22.0,-20.0,6.0
2020-05-27,-6.0,0.0,90.0,-24.0,-19.0,7.0
2020-05-28,-2.0,4.0,152.0,-22.0,-19.0,6.0
2020-05-29,2.0,9.0,200.0,-18.0,-18.0,3.0
2020-05-30,-3.0,12.0,209.0,-7.0,13.0,-1.0
2020-05-31,-20.0,-11.0,235.0,-12.0,5.0,-1.0
2020-06-01,-31.0,-16.0,372.0,-35.0,-77.0,13.0
2020-06-02,15.0,22.0,202.0,-14.0,-19.0,3.0
2020-06-03,5.0,9.0,133.0,-17.0,-19.0,5.0
2020-06-04,10.0,17.0,71.0,-18.0,-20.0,4.0
2020-06-05,-37.0,-25.0,143.0,-40.0,-63.0,15.0
2020-06-06,-1.0,14.0,55.0,-23.0,4.0,3.0
2020-06-07,0.0,-5.0,87.0,-21.0,6.0,1.0
2020-06-08,5.0,2.0,99.0,-21.0,-19.0,5.0
2020-06-09,4.0,4.0,126.0,-18.0,-18.0,4.0
2020-06-10,2.0,2.0,115.0,-19.0,-18.0,5.0
2020-06-11,4.0,4.0,112.0,-21.0,-19.0,5.0
2020-06-12,-1.0,0.0,106.0,-21.0,-18.0,4.0
2020-06-13,-6.0,0.0,117.0,-14.0,10.0,0.0
2020-06-14,7.0,-2.0,170.0,-13.0,13.0,-1.0
2020-06-15,11.0,5.0,219.0,-14.0,-18.0,3.0
2020-06-16,11.0,8.0,237.0,-12.0,-17.0,2.0
2020-06-17,8.0,5.0,205.0,-12.0,-17.0,3.0
2020-06-18,9.0,5.0,206.0,-16.0,-18.0,2.0
2020-06-19,-1.0,0.0,127.0,-20.0,-19.0,3.0
2020-06-20,-7.0,1.0,91.0,-16.0,6.0,0.0
2020-06-21,6.0,-2.0,136.0,-16.0,8.0,-1.0
2020-06-22,14.0,5.0,163.0,-16.0,-21.0,3.0
2020-06-23,13.0,8.0,267.0,-10.0,-19.0,0.0
2020-06-24,10.0,4.0,244.0,-10.0,-18.0,2.0
2020-06-25,12.0,8.0,288.0,-11.0,-19.0,1.0
2020-06-26,1.0,0.0,288.0,-14.0,-19.0,0.0
2020-06-27,-6.0,1.0,233.0,1.0,5.0,-4.0
2020-06-28,3.0,-2.0,102.0,-15.0,3.0,-1.0
2020-06-29,15.0,4.0,185.0,-17.0,-29.0,4.0
2020-06-30,23.0,13.0,127.0,-17.0,-29.0,4.0
2020-07-01,20.0,7.0,177.0,-14.0,-29.0,3.0
2020-07-02,20.0,8.0,224.0,-15.0,-31.0,3.0
2020-07-03,6.0,-1.0,158.0,-18.0,-32.0,3.0
2020-07-04,-6.0,-2.0,66.0,-11.0,-5.0,-1.0
2020-07-05,9.0,-3.0,90.0,-15.0,-4.0,0.0
2020-07-06,22.0,5.0,184.0,-21.0,-42.0,6.0
2020-07-07,23.0,6.0,220.0,-18.0,-41.0,5.0
2020-07-08,22.0,3.0,245.0,-16.0,-40.0,4.0
2020-07-09,19.0,3.0,288.0,-16.0,-40.0,4.0
2020-07-10,3.0,-4.0,187.0,-24.0,-41.0,5.0
2020-07-11,0.0,-1.0,192.0,2.0,-3.0,-3.0
2020-07-12,12.0,-3.0,178.0,-7.0,-5.0,-2.0
2020-07-13,29.0,6.0,358.0,-16.0,-53.0,6.0
2020-07-14,26.0,6.0,301.0,-19.0,-53.0,7.0
2020-07-15,24.0,3.0,307.0,-20.0,-52.0,7.0
2020-07-16,23.0,4.0,383.0,-17.0,-52.0,6.0
2020-07-17,6.0,-6.0,384.0,-19.0,-52.0,4.0
2020-07-18,-1.0,-3.0,302.0,8.0,-4.0,-5.0
2020-07-19,12.0,-3.0,236.0,-5.0,-6.0,-3.0
2020-07-20,32.0,9.0,370.0,-18.0,-56.0,6.0
2020-07-21,33.0,9.0,406.0,-17.0,-56.0,6.0
2020-07-22,28.0,4.0,365.0,-18.0,-55.0,6.0
2020-07-23,22.0,3.0,340.0,-22.0,-55.0,7.0
2020-07-24,5.0,-5.0,260.0,-28.0,-55.0,8.0
2020-07-25,0.0,-4.0,257.0,5.0,-5.0,-3.0
2020-07-26,9.0,-5.0,134.0,-13.0,-9.0,0.0
2020-07-27,26.0,4.0,320.0,-20.0,-50.0,7.0
2020-07-28,27.0,6.0,328.0,-18.0,-49.0,7.0
2020-07-29,22.0,2.0,220.0,-24.0,-50.0,8.0
2020-07-30,23.0,4.0,282.0,-22.0,-49.0,7.0
2020-07-31,15.0,0.0,368.0,-17.0,-48.0,3.0
2020-08-01,4.0,0.0,294.0,12.0,-2.0,-5.0
